candidate_id,c_value,fold,rows,real_rows,fake_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,false_positives,false_negatives,confusion_matrix,train_f1_weighted,generalization_gap,recall_gap,feature_fit_seconds,feature_transform_seconds,classifier_fit_seconds,training_seconds,prediction_seconds,n_iter
linear_svm_c_0_25,0.25,1,639,320,319,0.9107981220657277,0.9146897250868299,0.9107981220657277,0.9105808647254802,0.8746438746438746,0.959375,0.9150521609538003,0.9548611111111112,0.8620689655172413,0.9060955518945635,13,44,"[[307, 13], [44, 275]]",0.9953050608358315,0.08472419611035131,0.09730603448275865,7.95925689995056,1.4300841999938712,0.20426289999159053,8.16351979994215,0.003785100008826703,18
linear_svm_c_0_5,0.5,1,639,320,319,0.9061032863849765,0.9083972234404986,0.9061032863849765,0.9059651000202119,0.877906976744186,0.94375,0.9096385542168675,0.9389830508474576,0.8683385579937304,0.9022801302931596,18,42,"[[302, 18], [42, 277]]",0.9988262894629173,0.09286118944270538,0.07541144200626959,7.95925689995056,1.4300841999938712,0.2723944000317715,8.231651299982332,0.002626099972985685,29
linear_svm_c_1_0,1.0,1,639,320,319,0.9123630672926447,0.9143184861824183,0.9123630672926447,0.9122543248750644,0.8859649122807017,0.946875,0.9154078549848943,0.9427609427609428,0.877742946708464,0.9090909090909091,17,39,"[[303, 17], [39, 280]]",1.0,0.08774567512493558,0.06913205329153604,7.95925689995056,1.4300841999938712,0.4757982000010088,8.435055099951569,0.00272759998915717,49
linear_svm_c_2_0,2.0,1,639,320,319,0.9107981220657277,0.9122479814976389,0.9107981220657277,0.9107150257955797,0.887905604719764,0.940625,0.91350531107739,0.9366666666666666,0.8808777429467085,0.9079159935379645,19,38,"[[301, 19], [38, 281]]",1.0,0.08928497420442028,0.059747257053291536,7.95925689995056,1.4300841999938712,0.7299071999732405,8.6891640999238,0.0026565000298433006,94
linear_svm_c_4_0,4.0,1,639,320,319,0.9123630672926447,0.913976965163882,0.9123630672926447,0.9122728262616135,0.888235294117647,0.94375,0.9151515151515152,0.939799331103679,0.8808777429467085,0.9093851132686084,18,38,"[[302, 18], [38, 281]]",1.0,0.08772717373838645,0.06287225705329147,7.95925689995056,1.4300841999938712,1.3746026000007987,9.333859499951359,0.0026442999951541424,167
linear_svm_c_0_25,0.25,2,639,319,320,0.9045383411580594,0.9079115779057699,0.9045383411580594,0.9043481378955835,0.8706896551724138,0.9498432601880877,0.9085457271364318,0.9450171821305842,0.859375,0.900163666121113,16,45,"[[303, 16], [45, 275]]",0.9949137761990267,0.09056563830344311,0.09046826018808773,7.270385400042869,1.7589791000355035,0.27262960001826286,7.543015000061132,0.0031574000022374094,19
linear_svm_c_0_5,0.5,2,639,319,320,0.9076682316118936,0.9106120322364699,0.9076682316118936,0.907509228308999,0.8757225433526011,0.9498432601880877,0.9112781954887218,0.9453924914675768,0.865625,0.9037520391517129,16,43,"[[303, 16], [43, 277]]",0.9984350490240993,0.09092582071510025,0.08421826018808776,7.270385400042869,1.7589791000355035,0.31582760001765564,7.586213000060525,0.004218800051603466,30
linear_svm_c_1_0,1.0,2,639,319,320,0.9107981220657277,0.9133391533010967,0.9107981220657277,0.9106668607951772,0.8808139534883721,0.9498432601880877,0.9140271493212669,0.9457627118644067,0.871875,0.9073170731707317,16,41,"[[303, 16], [41, 279]]",0.9992175264283805,0.08855066563320324,0.07796826018808778,7.270385400042869,1.7589791000355035,0.4475772000150755,7.717962600057945,0.004427399951964617,51
linear_svm_c_2_0,2.0,2,639,319,320,0.9076682316118936,0.9110670129981877,0.9076682316118936,0.9074842645219577,0.8735632183908046,0.9529780564263323,0.9115442278860569,0.9484536082474226,0.8625,0.9034369885433715,15,44,"[[304, 15], [44, 276]]",1.0,0.09251573547804226,0.09047805642633222,7.270385400042869,1.7589791000355035,0.7982827999512665,8.068668199994136,0.002564100024756044,94
linear_svm_c_4_0,4.0,2,639,319,320,0.9092331768388107,0.9119722244208291,0.9092331768388107,0.9090884650068212,0.8782608695652174,0.9498432601880877,0.9126506024096386,0.9455782312925171,0.86875,0.9055374592833876,16,42,"[[303, 16], [42, 278]]",1.0,0.09091153499317883,0.08109326018808771,7.270385400042869,1.7589791000355035,1.3673657000181265,8.637751100060996,0.002577400009613484,171
