model,bin_lower,bin_upper,sample_count,mean_probability_fake,observed_fake_rate,absolute_gap
uncalibrated,0.0,0.1,46,0.067439,0.043478,0.023961
uncalibrated,0.1,0.2,121,0.148598,0.07438,0.074217
uncalibrated,0.2,0.3,124,0.243549,0.08871,0.154839
uncalibrated,0.3,0.4,78,0.342548,0.166667,0.175881
uncalibrated,0.4,0.5,67,0.447029,0.358209,0.08882
uncalibrated,0.5,0.6,42,0.54317,0.571429,0.028259
uncalibrated,0.6,0.7,61,0.647595,0.95082,0.303224
uncalibrated,0.7,0.8,67,0.754822,1.0,0.245178
uncalibrated,0.8,0.9,103,0.852412,0.990291,0.137879
uncalibrated,0.9,1.0,83,0.938895,1.0,0.061105
calibrated_sigmoid,0.0,0.1,246,0.036706,0.073171,0.036465
calibrated_sigmoid,0.1,0.2,70,0.150081,0.1,0.050081
calibrated_sigmoid,0.2,0.3,35,0.245672,0.2,0.045672
calibrated_sigmoid,0.3,0.4,29,0.345404,0.241379,0.104024
calibrated_sigmoid,0.4,0.5,32,0.44349,0.4375,0.00599
calibrated_sigmoid,0.5,0.6,24,0.553843,0.25,0.303843
calibrated_sigmoid,0.6,0.7,25,0.65012,0.52,0.13012
calibrated_sigmoid,0.7,0.8,18,0.749845,0.666667,0.083178
calibrated_sigmoid,0.8,0.9,50,0.852366,0.94,0.087634
calibrated_sigmoid,0.9,1.0,263,0.979815,0.996198,0.016382
