classifier,classifier_display,cohort,rows,real_rows,fake_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,false_positives,false_negatives,mean_score_real,mean_score_fake,confusion_matrix,length_group,length_description
logistic_regression,Logistic Regression,length_very_short_le_60,9,6,3,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8917748917748918,1.0,0.8333333333333334,0.9090909090909091,0.75,1.0,0.8571428571428571,1,0,-0.32131289283621894,1.8470678366112183,"[[5, 1], [0, 3]]",very_short_le_60,Shumë të shkurtër (<=60)
logistic_regression,Logistic Regression,length_short_61_120,341,75,266,0.9501466275659824,0.950405373528992,0.9501466275659824,0.9502647620462515,0.881578947368421,0.8933333333333333,0.8874172185430463,0.969811320754717,0.9661654135338346,0.967984934086629,8,9,-1.015469519259746,2.247432483998452,"[[67, 8], [9, 257]]",short_61_120,Të shkurtër (61-120)
logistic_regression,Logistic Regression,length_medium_121_250,269,174,95,0.8810408921933085,0.8816253174791495,0.8810408921933085,0.878609878281262,0.8776595744680851,0.9482758620689655,0.9116022099447514,0.8888888888888888,0.7578947368421053,0.8181818181818182,9,23,-1.3758856713562424,0.9687005279809414,"[[165, 9], [23, 72]]",medium_121_250,Mesatarë (121-250)
logistic_regression,Logistic Regression,length_long_gt_250,173,144,29,0.8497109826589595,0.8726963617817068,0.8497109826589595,0.7948782261330585,0.8470588235294118,1.0,0.9171974522292994,1.0,0.10344827586206896,0.1875,0,26,-2.078568188712909,-0.8853398835075419,"[[144, 0], [26, 3]]",long_gt_250,Të gjatë (>250)
linear_svm,Linear SVM,length_very_short_le_60,9,6,3,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8917748917748918,1.0,0.8333333333333334,0.9090909090909091,0.75,1.0,0.8571428571428571,1,0,-0.32267276230986736,0.8067333628319876,"[[5, 1], [0, 3]]",very_short_le_60,Shumë të shkurtër (<=60)
linear_svm,Linear SVM,length_short_61_120,341,75,266,0.9530791788856305,0.9536091962778179,0.9530791788856305,0.9532993386470658,0.8831168831168831,0.9066666666666666,0.8947368421052632,0.9734848484848485,0.9661654135338346,0.969811320754717,7,9,-0.6301574483361454,1.1256614379012067,"[[68, 7], [9, 257]]",short_61_120,Të shkurtër (61-120)
linear_svm,Linear SVM,length_medium_121_250,269,174,95,0.8810408921933085,0.880137281929187,0.8810408921933085,0.8801094695548073,0.8944444444444445,0.9252873563218391,0.9096045197740112,0.8539325842696629,0.8,0.8260869565217391,13,19,-0.7061002774465747,0.5938378808248259,"[[161, 13], [19, 76]]",medium_121_250,Mesatarë (121-250)
linear_svm,Linear SVM,length_long_gt_250,173,144,29,0.8901734104046243,0.8837418541290821,0.8901734104046243,0.8766812402247273,0.8980891719745223,0.9791666666666666,0.9368770764119602,0.8125,0.4482758620689655,0.5777777777777777,3,16,-0.9178427719874579,-0.18427160925251118,"[[141, 3], [16, 13]]",long_gt_250,Të gjatë (>250)
complement_nb,Complement Naive Bayes,length_very_short_le_60,9,6,3,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8917748917748918,1.0,0.8333333333333334,0.9090909090909091,0.75,1.0,0.8571428571428571,1,0,-2.546235960241385,5.661949439795374,"[[5, 1], [0, 3]]",very_short_le_60,Shumë të shkurtër (<=60)
complement_nb,Complement Naive Bayes,length_short_61_120,341,75,266,0.9325513196480938,0.9317545886978673,0.9325513196480938,0.9320521762573531,0.8611111111111112,0.8266666666666667,0.8435374149659864,0.9516728624535316,0.9624060150375939,0.9570093457943926,13,10,-4.223620560384116,8.439692478914026,"[[62, 13], [10, 256]]",short_61_120,Të shkurtër (61-120)
complement_nb,Complement Naive Bayes,length_medium_121_250,269,174,95,0.8550185873605948,0.8535708566059181,0.8550185873605948,0.8532415738995798,0.8688524590163934,0.9137931034482759,0.8907563025210085,0.8255813953488372,0.7473684210526316,0.7845303867403315,15,24,-5.7373227458878695,3.7421928718717106,"[[159, 15], [24, 71]]",medium_121_250,Mesatarë (121-250)
complement_nb,Complement Naive Bayes,length_long_gt_250,173,144,29,0.8439306358381503,0.8195170352935748,0.8439306358381503,0.7984217555579748,0.8502994011976048,0.9861111111111112,0.9131832797427653,0.6666666666666666,0.13793103448275862,0.22857142857142856,2,25,-6.942571297928246,-3.1072974273542693,"[[142, 2], [25, 4]]",long_gt_250,Të gjatë (>250)
