method,bin_id,bin_lower,bin_upper,rows,mean_probability_fake,fraction_fake,absolute_gap
sigmoid,0,0.0,0.1,1073,0.02976955657964499,0.034482758620689655,0.004713202041044664
sigmoid,1,0.1,0.2,242,0.14259596779921074,0.10743801652892562,0.03515795127028512
sigmoid,2,0.2,0.3,129,0.24797094232750075,0.21705426356589147,0.03091667876160928
sigmoid,3,0.3,0.4,120,0.34894980097415856,0.375,0.026050199025841436
sigmoid,4,0.4,0.5,83,0.4478752359876384,0.3253012048192771,0.1225740311683613
sigmoid,5,0.5,0.6,72,0.5486750665355484,0.5555555555555556,0.006880489020007152
sigmoid,6,0.6,0.7,90,0.6460556669493704,0.6888888888888889,0.04283322193951844
sigmoid,7,0.7,0.8,77,0.7488468479424966,0.6883116883116883,0.060535159630808244
sigmoid,8,0.8,0.9,119,0.854721194855859,0.8487394957983193,0.005981699057539647
sigmoid,9,0.9,1.0,1190,0.9841274667288146,0.9899159663865547,0.005788499657740087
isotonic,0,0.0,0.1,1103,0.031108228028232807,0.038077969174977334,0.006969741146744528
isotonic,1,0.1,0.2,198,0.14223059761396567,0.10101010101010101,0.04122049660386466
isotonic,2,0.2,0.3,158,0.2444166397466762,0.2088607594936709,0.03555588025300532
isotonic,3,0.3,0.4,86,0.3486497123715983,0.3953488372093023,0.046699124837704
isotonic,4,0.4,0.5,120,0.43388299586216256,0.38333333333333336,0.0505496625288292
isotonic,5,0.5,0.6,83,0.5409654217243485,0.5903614457831325,0.04939602405878407
isotonic,6,0.6,0.7,62,0.6604806391365007,0.6935483870967742,0.033067747960273564
isotonic,7,0.7,0.8,109,0.7301111159675867,0.7339449541284404,0.0038338381608536976
isotonic,8,0.8,0.9,66,0.8631132707023526,0.8333333333333334,0.029779937369019183
isotonic,9,0.9,1.0,1210,0.9908956831708426,0.987603305785124,0.0032923773857186367
