method,outer_fold,fit_rows,validation_rows,outer_fit_groups,outer_validation_groups,outer_overlapping_groups,inner_folds,inner_overlapping_groups,training_seconds,rows,real_rows,fake_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,false_positives,false_negatives,brier_score,log_loss,ece,high_confidence_predictions,high_confidence_errors,high_confidence_accuracy,mean_probability_fake,probability_std,confusion_matrix
sigmoid,1,2556,639,1267,319,0,5,0,68.24434600002132,639,320,319,0.9061032863849765,0.9064969398621799,0.9061032863849765,0.9060779834979171,0.8939393939393939,0.921875,0.9076923076923077,0.919093851132686,0.890282131661442,0.9044585987261147,25,35,0.06907982571451236,0.23153725870250885,0.02436079944055536,457,13,0.9715536105032823,0.5072603227416635,0.4278255453256406,"[[295, 25], [35, 284]]"
isotonic,1,2556,639,1267,319,0,5,0,41.045849499991164,639,320,319,0.9061032863849765,0.9064969398621799,0.9061032863849765,0.9060779834979171,0.8939393939393939,0.921875,0.9076923076923077,0.919093851132686,0.890282131661442,0.9044585987261147,25,35,0.0701993097718016,0.32980590615348904,0.01687157201559679,484,16,0.9669421487603306,0.5072845725629153,0.43140481760743293,"[[295, 25], [35, 284]]"
sigmoid,2,2556,639,1272,314,0,5,0,31.194914199993946,639,319,320,0.9217527386541471,0.9219038198925165,0.9217527386541471,0.9217469893501118,0.9138461538461539,0.9310344827586207,0.922360248447205,0.9299363057324841,0.9125,0.9211356466876972,22,28,0.060621675407533916,0.19918458200243264,0.04102039658337428,439,5,0.9886104783599089,0.49795310445194324,0.4203449331509659,"[[297, 22], [28, 292]]"
isotonic,2,2556,639,1272,314,0,5,0,31.103474900010042,639,319,320,0.917057902973396,0.9182487204119474,0.917057902973396,0.9170026170498514,0.8958333333333334,0.9435736677115988,0.9190839694656489,0.9405940594059405,0.890625,0.9149277688603531,18,35,0.06039483806334809,0.19780393074435784,0.024568893959724083,454,6,0.986784140969163,0.49887507783676444,0.42394948955479245,"[[301, 18], [35, 285]]"
sigmoid,3,2556,639,1267,319,0,5,0,45.941061999998055,639,320,319,0.917057902973396,0.9185305672118587,0.917057902973396,0.9169806380204512,0.8938053097345132,0.946875,0.9195751138088012,0.9433333333333334,0.8871473354231975,0.9143780290791599,17,36,0.06998920541981506,0.2331963928843891,0.031112421218641405,458,13,0.9716157205240175,0.49026253321976404,0.42943530254641465,"[[303, 17], [36, 283]]"
isotonic,3,2556,639,1267,319,0,5,0,67.51061329990625,639,320,319,0.9139280125195618,0.9157154763316087,0.9139280125195618,0.9138305096980524,0.8885630498533724,0.946875,0.9167927382753404,0.9429530201342282,0.8808777429467085,0.9108589951377634,17,38,0.07147782505849705,0.23779725564108176,0.03358359594651167,480,16,0.9666666666666667,0.4883920777277567,0.4327067217756437,"[[303, 17], [38, 281]]"
sigmoid,4,2556,639,1270,316,0,5,0,67.75981519999914,639,319,320,0.9107981220657277,0.9111282535881381,0.9107981220657277,0.9107823904672218,0.899390243902439,0.9247648902821317,0.9119010819165378,0.9228295819935691,0.896875,0.9096671949286846,24,33,0.06320386042837119,0.20829328095976837,0.02097090708464014,465,10,0.978494623655914,0.5060292364845798,0.43067219516862804,"[[295, 24], [33, 287]]"
isotonic,4,2556,639,1270,316,0,5,0,70.94242059998214,639,319,320,0.9092331768388107,0.9100265689605651,0.9092331768388107,0.9091927027952794,0.8918918918918919,0.9310344827586207,0.911042944785276,0.9281045751633987,0.8875,0.9073482428115016,22,36,0.06378802440168611,0.20992291234745464,0.023497430694826307,445,9,0.9797752808988764,0.5059370135713824,0.43281451260437215,"[[297, 22], [36, 284]]"
sigmoid,5,2556,639,1268,318,0,5,0,34.77386509999633,639,320,319,0.9107981220657277,0.9108965732990133,0.9107981220657277,0.9107915676825443,0.9046153846153846,0.91875,0.9116279069767442,0.9171974522292994,0.9028213166144201,0.909952606635071,26,31,0.06379584571100157,0.21541307069593313,0.03165715673395544,444,8,0.9819819819819819,0.5112039742823314,0.42569827236639063,"[[294, 26], [31, 288]]"
isotonic,5,2556,639,1268,318,0,5,0,31.541101899929345,639,320,319,0.9107981220657277,0.9108965732990133,0.9107981220657277,0.9107915676825443,0.9046153846153846,0.91875,0.9116279069767442,0.9171974522292994,0.9028213166144201,0.909952606635071,26,31,0.06351424879738894,0.26233177576132366,0.019010622802128816,450,10,0.9777777777777777,0.5105018552702317,0.42777782748951637,"[[294, 26], [31, 288]]"
